age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
65,Government,345325,Masters,9,Single,Admin,Wife,Asian,Female,9821,671,32,Canada,<=50K
37,Private,185858,Masters,1,Single,Exec,Not-in-family,Black,Male,9186,777,53,Mexico,<=50K
54,Government,235758,Some-college,13,Single,Exec,Not-in-family,Asian,Female,4798,4927,59,Canada,>50K
62,Government,133711,PhD,6,Divorced,Tech,Own-child,Black,Male,6605,2279,69,United-States,<=50K
35,Private,86425,Bachelors,1,Married,Admin,Not-in-family,Asian,Male,2986,3022,62,Mexico,<=50K
34,Private,433502,PhD,3,Married,Sales,Husband,Other,Male,400,1860,4,Mexico,<=50K
26,Government,25994,PhD,11,Married,Exec,Husband,Other,Male,2855,3139,18,Mexico,<=50K
31,Self-emp,121915,Masters,6,Married,Exec,Husband,White,Female,3412,1074,56,Mexico,<=50K
66,Government,395105,PhD,3,Married,Tech,Not-in-family,Asian,Female,56,1716,24,United-States,<=50K
46,Government,493414,HS-grad,8,Married,Service,Wife,Black,Female,8022,1283,66,Mexico,<=50K
48,Government,114672,Masters,5,Married,Sales,Wife,Black,Female,1875,4686,13,India,<=50K
21,Government,298783,HS-grad,2,Married,Admin,Wife,Asian,Male,4543,1986,62,United-States,<=50K
35,Private,289349,Bachelors,4,Divorced,Exec,Wife,Black,Female,4298,2633,54,India,<=50K
37,Government,328821,Masters,9,Married,Exec,Husband,Other,Male,3768,1001,15,Mexico,<=50K
64,Self-emp,42930,Bachelors,4,Divorced,Sales,Husband,Black,Female,5752,1046,69,Canada,<=50K
60,Private,83313,Masters,10,Single,Service,Own-child,White,Female,4833,2176,3,India,<=50K
61,Self-emp,234923,Some-college,10,Married,Exec,Not-in-family,Other,Female,1353,2338,37,Mexico,<=50K
26,Self-emp,123153,PhD,8,Single,Sales,Not-in-family,Other,Male,4987,1855,37,India,<=50K
30,Self-emp,495725,Some-college,5,Single,Tech,Wife,Other,Male,6597,500,3,Mexico,<=50K
32,Self-emp,290460,Bachelors,11,Single,Service,Husband,Asian,Male,4311,2233,63,Mexico,<=50K
44,Private,430520,PhD,11,Divorced,Admin,Wife,Asian,Male,2934,4574,35,Mexico,<=50K
32,Private,242911,Masters,10,Single,Exec,Own-child,Other,Female,22,2539,52,Canada,<=50K
45,Self-emp,106058,PhD,13,Single,Sales,Not-in-family,Asian,Male,1209,4608,28,India,<=50K
54,Self-emp,97876,HS-grad,13,Single,Tech,Not-in-family,Black,Male,8940,3714,18,United-States,<=50K
36,Private,95366,PhD,14,Married,Admin,Wife,Asian,Female,804,2332,36,United-States,<=50K
43,Private,23403,HS-grad,15,Married,Sales,Own-child,Asian,Female,8325,600,33,United-States,<=50K
69,Private,352196,PhD,1,Divorced,Sales,Not-in-family,Other,Male,4416,4284,64,United-States,<=50K
43,Government,258550,HS-grad,7,Divorced,Admin,Own-child,White,Female,8625,988,26,Mexico,<=50K
42,Government,271420,Bachelors,3,Married,Tech,Own-child,White,Male,5141,1881,48,India,<=50K
43,Government,487843,Some-college,10,Divorced,Tech,Wife,White,Female,4968,4483,40,India,<=50K
43,Self-emp,345639,Masters,8,Married,Service,Husband,Black,Male,3671,1754,17,Canada,<=50K
63,Government,173004,PhD,14,Single,Exec,Wife,Asian,Male,7292,2464,40,India,<=50K
45,Self-emp,368234,Some-college,12,Single,Admin,Husband,White,Male,7001,2223,7,India,<=50K
66,Self-emp,308845,Masters,3,Divorced,Admin,Own-child,Other,Male,2098,4482,57,India,<=50K
35,Government,406601,Masters,1,Married,Admin,Husband,White,Male,8444,1494,8,Canada,<=50K
49,Self-emp,262396,HS-grad,5,Married,Tech,Own-child,White,Female,5061,852,56,United-States,<=50K
20,Government,67241,Bachelors,2,Divorced,Exec,Not-in-family,Asian,Male,9321,451,31,India,<=50K
19,Government,151439,Bachelors,11,Married,Service,Not-in-family,Asian,Male,3264,2324,59,Canada,<=50K
50,Private,75030,Some-college,4,Single,Sales,Not-in-family,Asian,Male,5435,1758,58,Canada,<=50K
59,Government,187577,Bachelors,1,Divorced,Sales,Wife,Black,Male,8493,4308,12,Mexico,<=50K
36,Private,174404,PhD,9,Divorced,Admin,Wife,Black,Male,6691,3353,48,Canada,<=50K
34,Government,488394,Bachelors,6,Married,Exec,Own-child,White,Female,2763,4136,31,United-States,<=50K
61,Government,217397,Some-college,8,Divorced,Tech,Not-in-family,Asian,Female,4005,4695,63,India,<=50K
50,Private,438484,Bachelors,11,Married,Exec,Wife,White,Male,3241,3338,74,Canada,>50K
29,Private,489702,PhD,4,Married,Exec,Not-in-family,Other,Female,3057,2588,39,United-States,<=50K
66,Government,428779,HS-grad,9,Married,Tech,Wife,Other,Male,550,1782,76,Canada,<=50K
20,Self-emp,115185,Some-college,2,Married,Admin,Husband,Asian,Female,5574,3520,20,Canada,<=50K
60,Private,46404,HS-grad,9,Married,Exec,Husband,Asian,Female,5411,1779,48,Canada,<=50K
66,Self-emp,65182,HS-grad,12,Divorced,Sales,Not-in-family,Other,Male,1587,3132,71,Canada,>50K
43,Self-emp,305135,HS-grad,5,Single,Tech,Own-child,Asian,Female,5920,3573,54,Canada,<=50K
52,Self-emp,114601,Masters,13,Single,Service,Wife,Black,Female,5260,3218,78,United-States,>50K
25,Private,188735,Masters,6,Divorced,Admin,Wife,Black,Male,4409,3757,75,India,<=50K
69,Self-emp,338030,HS-grad,3,Divorced,Tech,Husband,Asian,Male,5783,4016,71,India,<=50K
53,Private,132002,Some-college,4,Single,Service,Husband,Other,Female,712,2837,29,India,<=50K
24,Self-emp,355992,PhD,6,Single,Service,Own-child,White,Female,5406,2381,74,India,<=50K
63,Government,427343,PhD,7,Single,Exec,Own-child,Asian,Female,7990,4239,73,United-States,<=50K
63,Government,329836,Bachelors,1,Single,Exec,Own-child,Asian,Male,7420,3936,48,Mexico,<=50K
53,Private,235461,Some-college,7,Single,Exec,Not-in-family,White,Female,6843,4428,74,Mexico,<=50K
33,Government,309644,Masters,1,Married,Tech,Husband,Asian,Female,2433,1419,56,United-States,<=50K
41,Government,305929,HS-grad,5,Divorced,Tech,Not-in-family,White,Female,3301,4150,17,United-States,<=50K
18,Self-emp,94146,Bachelors,6,Married,Admin,Husband,Other,Male,270,1330,9,Canada,<=50K
66,Private,492342,PhD,13,Single,Exec,Husband,Black,Male,9986,2917,34,Canada,<=50K
42,Self-emp,498195,Masters,2,Single,Service,Wife,Other,Male,1079,1446,45,Canada,<=50K
27,Self-emp,57997,Masters,15,Single,Sales,Husband,Black,Male,5322,1440,9,India,<=50K
33,Self-emp,17170,HS-grad,15,Married,Admin,Husband,White,Female,8795,3744,7,Canada,<=50K
33,Self-emp,154375,PhD,13,Married,Tech,Not-in-family,Black,Male,5257,2844,16,Mexico,<=50K
25,Self-emp,343887,Some-college,10,Single,Admin,Husband,Other,Female,7982,4175,19,India,<=50K
46,Self-emp,481068,Masters,9,Married,Admin,Not-in-family,Black,Female,9777,864,6,Canada,<=50K
56,Self-emp,45187,HS-grad,14,Married,Admin,Own-child,White,Female,6214,471,11,India,<=50K
45,Private,206106,Some-college,10,Single,Admin,Husband,Black,Female,5006,1502,76,Mexico,<=50K
23,Government,474992,PhD,6,Married,Sales,Husband,Asian,Male,3985,4684,61,Canada,<=50K
33,Self-emp,142965,Masters,7,Divorced,Exec,Not-in-family,Other,Male,9587,1410,42,Mexico,<=50K
37,Self-emp,154825,Some-college,14,Divorced,Service,Own-child,Asian,Male,8791,3770,13,Mexico,<=50K
33,Self-emp,48090,Some-college,15,Divorced,Admin,Wife,White,Male,8705,1905,12,Mexico,<=50K
24,Self-emp,468138,Some-college,10,Divorced,Admin,Own-child,Black,Male,5991,4659,74,Canada,<=50K
58,Self-emp,479984,Masters,15,Single,Admin,Not-in-family,Asian,Female,6227,4001,20,United-States,<=50K
31,Self-emp,331556,Masters,8,Single,Exec,Own-child,Asian,Male,9258,3504,50,Canada,<=50K
60,Government,263478,Bachelors,11,Single,Tech,Not-in-family,Black,Male,7833,3483,36,Mexico,<=50K
43,Government,328174,PhD,15,Divorced,Tech,Not-in-family,Black,Male,2886,4562,69,Canada,>50K
43,Self-emp,27509,HS-grad,13,Divorced,Sales,Wife,Other,Male,2653,598,37,Mexico,<=50K
31,Government,78653,Some-college,10,Married,Tech,Husband,Asian,Female,9280,991,12,United-States,<=50K
24,Private,178001,Bachelors,1,Married,Admin,Not-in-family,Asian,Female,4864,1932,40,India,<=50K
50,Self-emp,401770,HS-grad,14,Divorced,Admin,Not-in-family,White,Female,2514,2784,54,United-States,>50K
43,Private,451507,Bachelors,8,Divorced,Admin,Wife,Other,Female,3969,3041,2,United-States,<=50K
62,Private,276186,Masters,4,Divorced,Sales,Not-in-family,White,Female,3284,66,50,India,<=50K
37,Self-emp,203646,Some-college,10,Divorced,Admin,Husband,Asian,Male,7740,3398,41,Canada,<=50K
20,Government,309345,HS-grad,8,Married,Tech,Wife,White,Female,4566,2750,45,India,<=50K
