age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
58,Private,164194,HS-grad,11,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,10000,1000,22,United-States,<=50K
23,Self-emp-not-inc,284951,Bachelors,8,Divorced,Sales,Own-child,White,Female,10000,0,20,India,<=50K
62,State-gov,165684,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,42,Canada,<=50K
20,Federal-gov,85444,Some-college,14,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Female,10000,0,24,United-States,<=50K
60,Private,142049,Bachelors,9,Married-civ-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,42,India,>50K
60,Private,339360,Masters,10,Divorced,Sales,Husband,Black,Female,0,0,40,United-States,>50K
32,State-gov,230325,HS-grad,12,Never-married,Sales,Wife,White,Female,5000,1000,29,Canada,<=50K
26,Federal-gov,302579,Bachelors,12,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,28,Mexico,<=50K
23,Private,100132,HS-grad,10,Divorced,Adm-clerical,Not-in-family,Black,Female,10000,1000,53,Canada,<=50K
53,Private,377412,HS-grad,16,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Female,0,1000,20,Canada,<=50K
50,Private,347837,Bachelors,12,Divorced,Prof-specialty,Husband,White,Female,0,0,58,Canada,>50K
49,Private,210306,HS-grad,12,Never-married,Tech-support,Husband,Asian-Pac-Islander,Male,0,1000,24,India,<=50K
26,Federal-gov,106574,Some-college,12,Divorced,Prof-specialty,Own-child,White,Male,0,1000,43,Mexico,<=50K
51,Private,149973,Some-college,11,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,10000,0,20,United-States,<=50K
63,Self-emp-not-inc,55337,HS-grad,8,Married-civ-spouse,Tech-support,Husband,Black,Female,0,0,56,Mexico,<=50K
33,Local-gov,119829,Some-college,9,Never-married,Adm-clerical,Wife,Black,Female,5000,0,26,United-States,<=50K
43,Private,150367,Masters,11,Never-married,Prof-specialty,Own-child,White,Female,0,0,49,India,>50K
22,Federal-gov,71332,Some-college,8,Divorced,Prof-specialty,Not-in-family,White,Male,0,1000,51,Mexico,<=50K
31,Private,106317,Some-college,14,Never-married,Adm-clerical,Wife,Black,Female,5000,1000,29,India,<=50K
36,Federal-gov,304266,Bachelors,8,Divorced,Exec-managerial,Not-in-family,White,Female,10000,0,23,United-States,>50K
29,Federal-gov,55631,HS-grad,11,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,10000,0,46,Canada,<=50K
34,State-gov,145140,Bachelors,12,Married-civ-spouse,Sales,Wife,Black,Female,0,0,49,United-States,<=50K
22,Self-emp-not-inc,285229,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,48,Canada,<=50K
57,Private,370152,Assoc-acdm,16,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,37,Canada,<=50K
56,Self-emp-not-inc,380446,Bachelors,12,Divorced,Adm-clerical,Wife,White,Male,5000,0,22,United-States,>50K
39,State-gov,104715,Bachelors,15,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,43,India,>50K
45,State-gov,40916,Bachelors,13,Never-married,Sales,Not-in-family,Black,Female,10000,0,35,India,<=50K
29,Private,114036,Some-college,13,Married-civ-spouse,Sales,Wife,White,Male,5000,0,50,India,<=50K
30,State-gov,180007,Some-college,11,Never-married,Tech-support,Husband,Black,Female,0,0,37,Canada,<=50K
59,Local-gov,376263,Assoc-acdm,16,Married-civ-spouse,Tech-support,Not-in-family,Black,Male,10000,0,22,United-States,<=50K
56,State-gov,184457,Some-college,14,Divorced,Prof-specialty,Not-in-family,Black,Male,0,0,47,United-States,<=50K
51,Self-emp-not-inc,210956,Assoc-acdm,14,Never-married,Exec-managerial,Wife,Asian-Pac-Islander,Male,0,0,46,Canada,<=50K
43,Self-emp-not-inc,240434,Masters,14,Divorced,Sales,Wife,Black,Male,0,0,33,Mexico,>50K
55,State-gov,263787,Assoc-acdm,15,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Male,0,0,52,Canada,<=50K
23,State-gov,137776,Bachelors,11,Never-married,Tech-support,Not-in-family,White,Female,10000,0,49,Mexico,<=50K
58,Self-emp-not-inc,396620,Assoc-acdm,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1000,34,India,<=50K
62,Local-gov,46328,Assoc-acdm,16,Never-married,Tech-support,Own-child,White,Female,10000,0,48,Mexico,<=50K
53,Self-emp-not-inc,268866,Some-college,15,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,0,48,United-States,<=50K
63,State-gov,187619,Masters,16,Never-married,Sales,Husband,White,Female,0,0,24,Mexico,<=50K
44,Local-gov,52645,Masters,11,Married-civ-spouse,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,5000,0,42,Canada,>50K
42,Federal-gov,306330,Some-college,11,Married-civ-spouse,Sales,Wife,Black,Female,0,1000,41,Mexico,<=50K
64,Self-emp-not-inc,346241,Bachelors,16,Never-married,Adm-clerical,Not-in-family,White,Female,0,1000,31,United-States,>50K
34,State-gov,130970,Some-college,15,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,0,0,50,United-States,<=50K
65,Private,203480,Assoc-acdm,11,Divorced,Tech-support,Not-in-family,White,Male,0,0,59,India,<=50K
33,Local-gov,370989,Bachelors,9,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,0,0,58,United-States,<=50K
28,Private,323397,Masters,8,Married-civ-spouse,Prof-specialty,Own-child,Black,Male,0,0,26,Canada,<=50K
61,Private,316711,Assoc-acdm,8,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,20,Mexico,<=50K
49,Local-gov,209890,HS-grad,15,Divorced,Sales,Own-child,White,Female,10000,1000,49,Mexico,<=50K
64,State-gov,188980,Assoc-acdm,11,Never-married,Exec-managerial,Own-child,White,Female,10000,1000,41,United-States,<=50K
49,Self-emp-not-inc,206030,Masters,12,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,10000,0,25,India,<=50K
64,Local-gov,311072,Some-college,11,Divorced,Adm-clerical,Own-child,Black,Male,0,0,34,Mexico,<=50K
62,Federal-gov,213472,Bachelors,15,Divorced,Prof-specialty,Wife,Black,Female,0,1000,37,Canada,>50K
34,Private,398160,Bachelors,11,Married-civ-spouse,Tech-support,Husband,White,Male,5000,0,57,Canada,<=50K
24,State-gov,139266,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,23,Canada,<=50K
62,Local-gov,73785,Bachelors,8,Divorced,Exec-managerial,Own-child,Black,Female,0,0,23,Canada,>50K
48,Private,230086,HS-grad,15,Never-married,Prof-specialty,Not-in-family,White,Male,10000,0,25,India,<=50K
25,Local-gov,337885,Assoc-acdm,11,Divorced,Adm-clerical,Own-child,Black,Female,10000,1000,39,United-States,<=50K
57,Self-emp-not-inc,347950,HS-grad,11,Married-civ-spouse,Tech-support,Husband,White,Male,10000,0,30,United-States,<=50K
44,Federal-gov,266369,Some-college,12,Never-married,Sales,Wife,Asian-Pac-Islander,Female,5000,0,34,Canada,<=50K
58,Self-emp-not-inc,242895,Assoc-acdm,9,Divorced,Sales,Husband,Black,Male,0,0,30,Canada,<=50K
56,State-gov,250242,Assoc-acdm,9,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,5000,0,58,United-States,<=50K
45,Private,67881,Masters,11,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,10000,0,31,Mexico,>50K
51,State-gov,115152,Some-college,14,Divorced,Adm-clerical,Not-in-family,Black,Female,5000,0,40,United-States,<=50K
28,Local-gov,383684,Masters,15,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,<=50K
43,Private,364803,Assoc-acdm,16,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,10000,1000,60,Mexico,<=50K
21,State-gov,307949,Bachelors,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,10000,0,30,Canada,<=50K
53,Federal-gov,233904,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,5000,0,52,Canada,<=50K
44,Local-gov,147785,Some-college,15,Divorced,Sales,Own-child,White,Male,0,0,46,Canada,<=50K
50,State-gov,176529,Masters,15,Never-married,Adm-clerical,Own-child,Black,Female,10000,1000,49,Canada,>50K
30,Federal-gov,220787,Bachelors,11,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Female,5000,1000,29,Mexico,<=50K
20,Federal-gov,329424,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,46,India,<=50K
22,State-gov,197503,Some-college,14,Divorced,Tech-support,Wife,Asian-Pac-Islander,Female,0,1000,54,United-States,<=50K
57,Self-emp-not-inc,350910,HS-grad,12,Never-married,Tech-support,Own-child,White,Male,5000,0,39,United-States,<=50K
20,Private,173809,Masters,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,10000,0,30,India,<=50K
